graph_id,design_id,edge_max_cap_ff,edge_mean_cap_ff,edge_positive_count,edge_positive_mean_cap_ff,edge_power_count,edge_total_cap_ff,edge_zero_count,node_degree_max,node_degree_mean,node_incident_cap_max_ff,node_incident_cap_mean_ff,node_positive_incident_cap_max_ff,node_positive_incident_cap_mean_ff,num_edges,num_nodes,output_like_node_count,power_node_count,cap_count,total_cap_ff,output_node_cap_ff
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,633.36,13.452993206106871,117.0,15.062753076923077,34.0,1762.34211,14.0,18.0,13.789473684210526,1123.07106,185.50969578947368,1123.07106,185.50969578947368,131.0,19.0,2.0,2.0,131.0,1762.34211,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3,2194.14,51.616555625,109.0,53.0371947706422,34.0,5781.05423,3.0,18.0,11.789473684210526,3839.05254,608.5320242105263,3839.05254,608.5320242105263,112.0,19.0,2.0,2.0,112.0,5781.05423,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v2_20260822/grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,1833.77,28.34755976744186,117.0,31.255001794871795,34.0,3656.83521,12.0,18.0,13.578947368421053,2806.91033,384.93002210526316,2806.91033,384.93002210526316,129.0,19.0,2.0,2.0,129.0,3656.83521,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3,783.09,16.962824830508477,113.0,17.71339230088496,34.0,2001.6133300000001,5.0,18.0,12.421052631578947,1444.9902,210.69613999999999,1444.9902,210.69613999999999,118.0,19.0,2.0,2.0,118.0,2001.61333,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3,1323.57,24.829443925925926,126.0,26.602975634920632,35.0,3351.97493,9.0,18.0,14.210526315789474,2289.78533,352.8394663157895,2289.78533,352.8394663157895,135.0,19.0,2.0,2.0,135.0,3351.97493,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3,1062.65,18.335292480620158,123.0,19.22969699186992,35.0,2365.25273,6.0,18.0,13.578947368421053,1749.04165,248.97397157894733,1749.04165,248.97397157894733,129.0,19.0,2.0,2.0,129.0,2365.25273,0.0
leung_dfcfc2_pin_3__grpo_admission_batch_v3_20260822/grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,349.02,17.780769910714287,103.0,19.33442941747573,35.0,1991.44623,9.0,18.0,11.789473684210526,1203.94923,209.62591894736843,1203.94923,209.62591894736843,112.0,19.0,2.0,2.0,112.0,1991.44623,0.0
leung_nmcf_pin_3:cand_0002,leung_nmcf_pin_3,52.0028,2.0185840869565217,106.0,2.1899733018867926,33.0,232.13717,9.0,17.0,12.777777777777779,155.51379,25.793018888888888,155.51379,25.793018888888888,115.0,18.0,2.0,2.0,115.0,232.13717,2.08856
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0000_baseline,leung_nmcf_pin_3,52.0028,2.0185840869565217,106.0,2.1899733018867926,33.0,232.13717,9.0,17.0,12.777777777777779,155.51379,25.793018888888888,155.51379,25.793018888888888,115.0,18.0,2.0,2.0,115.0,232.13717,10.30153
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0001_input_pair_w_mstep,leung_nmcf_pin_3,52.0028,2.018366695652174,106.0,2.1897374528301885,33.0,232.11217,9.0,17.0,12.777777777777779,155.50829,25.79024111111111,155.50829,25.79024111111111,115.0,18.0,2.0,2.0,115.0,232.11217,10.30157
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0002_input_pair_w_pstep,leung_nmcf_pin_3,51.598,1.8699275,104.0,2.085688365384615,33.0,216.91159,12.0,17.0,12.88888888888889,135.67501,24.101287777777777,135.67501,24.101287777777777,116.0,18.0,2.0,2.0,116.0,216.91159,11.47249
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0003_load2_nmos_w_pstep,leung_nmcf_pin_3,52.0,2.018578695652174,106.0,2.1899674528301887,33.0,232.13655,9.0,17.0,12.777777777777779,155.4637,25.79295,155.4637,25.79295,115.0,18.0,2.0,2.0,115.0,232.13655,10.30153
leung_nmcnr_pin_3:cand_0001,leung_nmcnr_pin_3,69.7895,2.328630593220339,106.0,2.5922491509433963,33.0,274.77841,12.0,17.0,13.11111111111111,175.4618,30.530934444444444,175.4618,30.530934444444444,118.0,18.0,2.0,2.0,118.0,274.77841,9.95174
peng_acbc_pin_3:cand_0001,peng_acbc_pin_3,56.8312,1.9840115748031497,112.0,2.2497274107142857,35.0,251.96947,15.0,18.0,13.368421052631579,169.50002,26.52310210526316,169.50002,26.52310210526316,127.0,19.0,2.0,2.0,127.0,251.96947,2.68355
qu2017_azc_pin_3:cand_0001,qu2017_azc_pin_3,42.9369,1.309819193548387,101.0,1.6080948514851483,39.0,162.41758,23.0,20.0,11.80952380952381,100.2916,15.46834095238095,100.2916,15.46834095238095,124.0,21.0,2.0,2.0,124.0,162.41758,1.67224
ramos_pfc_pin_3:cand_0001,ramos_pfc_pin_3,293.36,15.42179298245614,101.0,17.406776237623763,33.0,1758.0844,13.0,17.0,12.666666666666666,997.73081,195.3427111111111,997.73081,195.3427111111111,114.0,18.0,2.0,2.0,114.0,1758.0844,114.514
sau_cfcc_pin_3:cand_0001,sau_cfcc_pin_3,49.3664,2.302148787878788,92.0,2.477312282608696,33.0,227.91273,7.0,17.0,11.0,157.49732,25.32363666666667,157.49732,25.32363666666667,99.0,18.0,2.0,2.0,99.0,227.91273,2.41469
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0000_baseline,sau_cfcc_pin_3,49.3664,2.302148787878788,92.0,2.477312282608696,33.0,227.91273,7.0,17.0,11.0,157.49732,25.32363666666667,157.49732,25.32363666666667,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0001_cap0_mstep,sau_cfcc_pin_3,49.3664,2.302148787878788,92.0,2.477312282608696,33.0,227.91273,7.0,17.0,11.0,157.49732,25.32363666666667,157.49732,25.32363666666667,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0002_gm1_pmos_w_pstep,sau_cfcc_pin_3,49.3664,2.3024037373737376,92.0,2.4775866304347827,33.0,227.93797,7.0,17.0,11.0,157.4952,25.326441111111112,157.4952,25.326441111111112,99.0,18.0,2.0,2.0,99.0,227.93797,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0004_cap0_pstep,sau_cfcc_pin_3,49.3664,2.302148787878788,92.0,2.477312282608696,33.0,227.91273,7.0,17.0,11.0,157.49732,25.32363666666667,157.49732,25.32363666666667,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
smcnr_se_2st_amp:cand_0001,smcnr_se_2st_amp,137.14,12.727604411764705,32.0,13.5230796875,15.0,432.73855,2.0,8.0,7.555555555555555,202.93411,96.16412222222222,202.93411,96.16412222222222,34.0,9.0,3.0,2.0,34.0,432.73855,172.429
smcnr_se_2st_amp:smcnr_sizing_probe_0001,smcnr_se_2st_amp,545.61,23.165169090909092,31.0,24.65969612903226,15.0,764.4505800000001,2.0,8.0,7.333333333333333,602.24878,169.8779066666667,602.24878,169.8779066666667,33.0,9.0,3.0,2.0,33.0,764.45058,645.62162
smcnr_se_2st_amp:smcnr_sizing_probe_0002,smcnr_se_2st_amp,545.64,23.890349375,30.0,25.483039333333334,15.0,764.49118,2.0,8.0,7.111111111111111,602.30661,169.8869288888889,602.30661,169.8869288888889,32.0,9.0,3.0,2.0,32.0,764.49118,645.71923
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0000_baseline,smcnr_se_2st_amp,545.61,23.165169090909092,31.0,24.65969612903226,15.0,764.4505800000001,2.0,8.0,7.333333333333333,602.24878,169.8779066666667,602.24878,169.8779066666667,33.0,9.0,3.0,2.0,33.0,764.45058,645.62162
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0001_diff_pair_w_m5pct,smcnr_se_2st_amp,545.61,23.134141515151516,31.0,24.62666677419355,15.0,763.4266700000001,2.0,8.0,7.333333333333333,602.21066,169.6503711111111,602.21066,169.6503711111111,33.0,9.0,3.0,2.0,33.0,763.42667,645.54552
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0002_diff_pair_w_p5pct,smcnr_se_2st_amp,545.61,23.19592606060606,30.0,25.515518666666665,15.0,765.46556,3.0,8.0,7.333333333333333,602.287,170.10345777777778,602.287,170.10345777777778,33.0,9.0,3.0,2.0,33.0,765.46556,645.69675
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0003_load_nmos_w_mstep,smcnr_se_2st_amp,545.64,23.165980606060604,31.0,24.66056,15.0,764.47736,2.0,8.0,7.333333333333333,602.26859,169.88385777777776,602.26859,169.88385777777776,33.0,9.0,3.0,2.0,33.0,764.47736,645.51523
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0004_load_nmos_w_pstep,smcnr_se_2st_amp,545.64,23.89044875,30.0,25.483145333333333,15.0,764.49436,2.0,8.0,7.111111111111111,602.30602,169.88763555555556,602.30602,169.88763555555556,32.0,9.0,3.0,2.0,32.0,764.49436,645.71805
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0005_second_stage_pmos_w_p5pct,smcnr_se_2st_amp,545.61,23.16903303030303,31.0,24.66380935483871,15.0,764.57809,2.0,8.0,7.333333333333333,602.24902,169.9062422222222,602.24902,169.9062422222222,33.0,9.0,3.0,2.0,33.0,764.57809,645.69652
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0006_second_stage_pmos_w_p10pct,smcnr_se_2st_amp,545.61,23.172828181818183,31.0,24.66784935483871,15.0,764.70333,2.0,8.0,7.333333333333333,602.24925,169.93407333333332,602.24925,169.93407333333332,33.0,9.0,3.0,2.0,33.0,764.70333,645.7717
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0007_second_stage_nmos_w_p5pct,smcnr_se_2st_amp,545.02,23.863694374999998,30.0,25.454607333333332,15.0,763.6382199999999,2.0,8.0,7.111111111111111,601.49227,169.69738222222222,601.49227,169.69738222222222,32.0,9.0,3.0,2.0,32.0,763.63822,644.98095
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0008_diff_m_load_m,smcnr_se_2st_amp,545.64,23.13499121212121,31.0,24.62757129032258,15.0,763.45471,2.0,8.0,7.333333333333333,602.23047,169.6566022222222,602.23047,169.6566022222222,33.0,9.0,3.0,2.0,33.0,763.45471,645.43913
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0009_diff_m_load_p,smcnr_se_2st_amp,545.64,23.858454062499998,30.0,25.449017666666666,15.0,763.4705299999999,2.0,8.0,7.111111111111111,602.2678,169.66011777777777,602.2678,169.66011777777777,32.0,9.0,3.0,2.0,32.0,763.47053,645.64185
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0010_diff_p_load_m,smcnr_se_2st_amp,545.64,23.196676363636364,30.0,25.516344,15.0,765.49032,3.0,8.0,7.333333333333333,602.3067,170.10896,602.3067,170.10896,33.0,9.0,3.0,2.0,33.0,765.49032,645.59025
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0011_diff_p_load_p,smcnr_se_2st_amp,545.64,23.922195,30.0,25.517007999999997,15.0,765.51024,2.0,8.0,7.111111111111111,602.34414,170.11338666666666,602.34414,170.11338666666666,32.0,9.0,3.0,2.0,32.0,765.51024,645.79409
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0012_diff_p_pmos_p5,smcnr_se_2st_amp,545.61,23.1997903030303,30.0,25.519769333333333,15.0,765.59308,3.0,8.0,7.333333333333333,602.28724,170.13179555555556,602.28724,170.13179555555556,33.0,9.0,3.0,2.0,33.0,765.59308,645.77166
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0013_diff_m_pmos_p10,smcnr_se_2st_amp,545.61,23.14180606060606,31.0,24.634825806451616,15.0,763.6796,2.0,8.0,7.333333333333333,602.21113,169.7065777777778,602.21113,169.7065777777778,33.0,9.0,3.0,2.0,33.0,763.6796,645.69559
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0014_load_p_nmos_p5,smcnr_se_2st_amp,545.02,23.8646965625,30.0,25.455676333333333,15.0,763.67029,2.0,8.0,7.111111111111111,601.52612,169.70450888888888,601.52612,169.70450888888888,32.0,9.0,3.0,2.0,32.0,763.67029,645.06645
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0015_pmos_p10_nmos_p5,smcnr_se_2st_amp,545.02,23.871541875,30.0,25.462978,15.0,763.88934,2.0,8.0,7.111111111111111,601.49273,169.75318666666666,601.49273,169.75318666666666,32.0,9.0,3.0,2.0,32.0,763.88934,645.13088
tan_clia_pin_3:cand_0001,tan_clia_pin_3,39.6033,1.0329276153846152,116.0,1.1575912931034482,33.0,134.28059,14.0,17.0,14.444444444444445,88.43084,14.920065555555555,88.43084,14.920065555555555,130.0,18.0,2.0,2.0,130.0,134.28059,3.27131
yan_az_pin_3:cand_0001,yan_az_pin_3,53.2133,1.1873675438596492,104.0,1.3015375,33.0,135.3599,10.0,17.0,12.666666666666666,88.56666,15.039988888888887,88.56666,15.039988888888887,114.0,18.0,2.0,2.0,114.0,135.3599,2.52636
